Organisation Code,Name,Address,Contact Telephone Number,Number of patients registered at the GP practice,Latitude,Longitude,GP Patient Number Quintile
E86036,Hillingdon Health Centre,"Hillingdon Health Centre, 4 Freezeland Way, Hillingdon, Middlesex, UB10 9QF",01895 234440,10742,51.55162126793069,-0.4480529009360022,4
E86038,Glendale Medical Centre,"155 High St, Harlington, Hayes, Middlesex, UB3 5DA",020 88978288,14917,51.490348784736604,-0.4345343994650633,5
E86041,Acre Surgery,"Acre Surgery, Neal Close, Acre Way, Northwood, Middlesex, HA6 1TQ",01923 820844,8937,51.604465126591656,-0.4115515749846996,4
E86042,The High Street Practice,"Yiewsley Health Centre, 20 High Street, Yiewsley, Middlesex, UB7 7DP",01895 422292,13571,51.511881,-0.4725379,5
E86605,Ladygate Lane Medical Practice,"22 Ladygate Lane, Ruislip, Middlesex, HA4 7QU",01895 632741,13140,51.58051192462119,-0.4364608404177041,5
E86609,North Hyde Road Surgery,"167 North Hyde Road, Hayes, Middlesex, UB3 4NS",020 85738560,8982,51.49784816632529,-0.4137767594186333,4
E86610,Willow Tree Surgery,"The Willow Tree Surgery, 2 Jollys Lane, Hayes, Middlesex, UB4 9NS",020 88421024,6373,51.52534146722846,-0.3863837265108605,3
E86612,Shakespeare Health Centre,"Elers Road Clinic, Elers Road, Hayes, Middlesex, UB3 1NY",020 37943119,4256,51.49842122647679,-0.4370383755288191,2
E86615,Acrefield Surgery,"700 Field End Road, South Ruislip, Middlesex, HA4 0QR",020 84225900,15151,51.562225318309686,-0.3823085264648732,5
E86618,Carepoint Practice,"Northwood Health Centre, Neal Close, Acre Way, Northwood, Middlesex, HA6 1TQ",01923 820866,2390,51.604465126591656,-0.4115515749846996,1
E86619,Wallasey Medical Centre,"1 Wallasey Crescent, Ickenham, Middlesex, UB10 8SA",01895 674156,2630,51.5669151054317,-0.4520050647771043,1
E86620,West London Medical Centre,"West London Medical Ctr, 20 Pield Heath Road, Hillingdon, Middlesex, UB8 3NG",01895 233881,9440,51.5257651,-0.4534094,4
E86625,Kincora Doctors Surgery,"Kincora, Coldharbour Lane, Hayes, Middlesex, UB3 3HG",0844 4772523,6451,51.51166609121772,-0.412216060763145,3
E86626,Queens Walk Medical Centre,"The Medical Centre, 69 Queens Walk, Ruislip, Middlesex, HA4 0NT",020 88422991,4853,51.56271603956893,-0.3931548353832003,2
E86629,Dr Mlr Siddiqui'S Practice,"21 Walnut Way, South Ruislip, Middlesex, HA4 6TA",020 88454400,5190,51.55201101738436,-0.39941697829071,2
E86632,Acorn Medical Centre,"Acorn Medical Centre, 149 Long Lane, Hillingdon, Middlesex, UB10 9JN",01895 237474,6539,51.54232643610204,-0.4516858731643829,3
E86637,Heathrow Medical Centre,"Heathrow Medical Centre, 1 St.Peter'S Way, Harlington, Middlesex, UB3 5AB",020 87541555,1282,51.493020323603716,-0.4339243058376283,1
E86640,Southcote Clinic,"Southcote Clinic, Southcote Rise, Ruislip, Middlesex, HA4 7LW",01895 679800,2549,51.577768634869116,-0.4333411948036075,1
E87002,Victoria Medical Centre,"Victoria Medical Centre, 29 Upper Tachbrook Street, London, SW1V 1SN",020 78342298,2208,51.49291025076951,-0.1389782343360074,1
E87003,North Kensington Medical Centre,"North Kensington Med Ctre, St.Quintin Avenue, London, W10 6NX",020 89695151,2740,51.51919888048581,-0.2203251717058335,1
E87004,The Redcliffe Surgery,"The Redcliffe Surgery, 10 Redcliffe Street, London, SW10 9DT",020 74602222,1909,51.48625415224102,-0.1888404233609479,1
E87005,Belgravia Surgery,"The Belgravia Surgery, 24-26 Ecclestone Street, Belgravia, London, SW1W 9PY",020 75908000,8258,51.49508897355376,-0.1485864981316134,3
E87006,Little Venice Medical Centre,"Little Venice Medical Ctr, 2 Crompton Street, London, W2 1ND",020 33269301,2743,51.52345612827037,-0.1766387629984817,1
E87007,Westbourne Grove Medical Centre,"241 Westbourne Grove, London, W11 2SE",020 72295800,4337,51.514209601007316,-0.2003857667097106,2
E87008,Paddington Green Health Centre,"Paddington Green Hlth Ctr, 4 Princess Louise Close, London, W2 1LQ",020 78871600,4053,51.520939157164726,-0.1732520883661992,1
E87009,The Garway Medical Practice,"Pickering House, Hallfield Estate, London, W2 6HF",020 76162900,1070,51.515391988846645,-0.1854941686209925,1
E87010,Maida Vale Medical Centre,"Maida Vale Health Centre, 40 Biddulph Mansions, 210 Elgin Avenue, London, W9 1HT",020 72866464,8734,51.5284191232234,-0.1887967258247861,4
E87011,Lisson Grove Health Centre,"Lisson Grove Health Ctr., Gateforth Street, London, NW8 8EG",020 33701940,3454,51.52479235548442,-0.169392492715232,1
E87013,Stanhope Mews Surgery,"7 Stanhope Mews West, London, SW7 5RB",020 78350400,5265,51.49447428078973,-0.1819310746977553,2
E87016,Holland Park Surgery,"Lower Ground Floor, 12 Phillimore Walk, London, W8 7RX",020 72214334,3351,51.501411812245856,-0.1944350804189371,1
E87021,Shirland Medical,"Queens Park Health Centre, Dart Street, London, W10 4LD",020 89692626,5817,51.53059896223841,-0.2076297412690016,2
E87024,The Golborne Medical Centre,"12-16 Golborne Road, London, W10 5PG",020 89692058,6944,51.52394714637538,-0.2067626700418231,3
E87026,Meanwhile Garden Medical Centre,"Meanwhile Garden Med Ctr, Unit 5, 1-31 Elkstone Road, London, W10 5NT",020 89605620,1618,51.522227890959215,-0.2031256149472586,1
E87029,Portland Road Practice,"Portland Road Practice, 16 Portland Road, London, W11 4LA",020 77277711,11853,51.50736632411455,-0.2080189560946531,5
E87034,Pimlico Health At The Marven Surgery,"Marven Medical Centre, 46-50 Lupus Street, Westminster, London, SW1V 3EB",020 78341160,9397,51.4884009,-0.1374885,4
E87037,Connaught Square Practice,"41 Connaught Square, London, W2 2HL",020 74024026,6366,51.51397354323081,-0.1642637096910677,3
E87038,Elgin Clinic,"40 Elgin Avenue, London, W9 3QT",020 72860747,14766,51.5248028,-0.1985547,5
E87043,Emperor'S Gate Centre For Health,"First Floor, 49 Emperor'S Gate, London, SW7 4HJ",020 72445670,12979,51.49630483203044,-0.1863242873885336,5
E87045,Covent Garden Medical Centre,"Covent Garden Medical Ctr, Eric Knapp, 47 Shorts Gardens, London, WC2H 9AA",020 73797209,9603,51.515562026862646,-0.1237143997197047,4
E87046,The Randolph Surgery,"The Randolph Surgery, 235A Elgin Avenue, London, W9 1NH",020 72662621,9785,51.52985350301782,-0.1868806283900232,4
E87047,Earls Court Medical Centre,"Earls Court Medical Ctr, 248 Earls Court Road, London, SW5 9AD",020 78351455,8524,51.4917719,-0.1926222,4
E87048,Rosary Garden Surgery,"45 Rosary Gardens, London, SW7 4NQ",020 73736557,8929,51.4920995948041,-0.1830483255368269,4
E87052,Crompton Medical Centre,"Crompton Medical Centre, 1 Crompton Street, London, W2 1ND",020 77237789,8762,51.52345612827037,-0.1766387629984817,4
E87061,The Pembridge Villas Surgery,"The Surgery, 45A Pembridge Villas, Nottinghill Gate, London, W11 3EP",020 77272222,6815,51.51298975331276,-0.1970758793081931,3
E87063,Kings Road Medical Centre,"Kings Road Medical Centre, 529 Kings Road, Chelsea, London, SW10 0UD",0844 8151870,8641,51.48035505253381,-0.1847680592599515,4
E87065,The Notting Hill Medical Centre,"The Notting Hill Med Ctr, 14 Codrington Mews, London, W11 2EH",020 77275800,4412,51.51485359523952,-0.2072062898740948,2
E87066,Fitzrovia Medical Centre,"Fitzrovia Medical Centre, 31 Fitzroy Square, London, W1T 6EU",020 73875798,9037,51.52242221207349,-0.1405862262779946,4
E87067,Colville Health Centre,"Colville Health Centre, 51 Kensington Park Road, London, W11 1PA",020 77274592,4420,51.51583684169544,-0.2062308564489721,2
E87069,Soho Centre For Health And Care,"Soho Ctr For Hlth & Care, 1St Floor, 30 Soho Square, London, W1D 3QS",020 75346570,8798,51.51452389036539,-0.1319145130601459,4
E87070,Crawford Street Surgery,"The Crawford St Surgery, 95-97 Crawford Street, London, W1H 2HJ",020 77236324,9204,51.5193214086568,-0.1612235527081743,4
E87609,St Johns Wood Medical Practice,"Brampton House, 60 Grove End Road, London, NW8 9NH",020 36579449,3414,51.532937268972645,-0.1743384456849081,1
E87637,Grand Union Health Centre,"209 Harrow Road, London, W2 5EH",020 72861231,9079,51.52031945000001,-0.1913978000000002,4
E87648,Mayfair Medical Centre,"Mayfair Medical Centre, 3-5 Weighhouse Street, London, W1K 5LS",020 74931647,8171,51.51349930360096,-0.1501841933005175,3
E87663,Third Floor Lanark Road Medical Centre,"165 Lanark Road, 3Rd Floor Medical Centre, London, W9 1NZ",020 76248616,7683,51.53041396352208,-0.1857927092500171,3
E87665,The Chelsea Practice,"The Chelsea Practice, The Violet Melchett Clin., Flood Walk, London, SW3 5RR",0844 4778722,3439,51.4870463,-0.1662537,1
E87677,Imperial College Health Centre,"Imperial College Hth Ctr, (Southside,Watts Way), 40 Princes Gardens, London, SW7 1LY",020 75846301,5000,51.498654452028035,-0.1720109520624443,2
E87681,Newton Medical Centre,"The Newton Medical Centre, 14-18 Newton Road, London, W2 5LT",020 72294578,4323,51.51628115696639,-0.1918293381350269,2
E87691,Westminster School,"Westminster School, 17 Deans Yard, London, SW1P 3PA",020 75892478,2329,51.498865618179856,-0.1277904177202955,1
E87694,The Royal Mews Surgery,"The Royal Mews Surgery, Buckingham Palace, London, SW1W 0QH",020 79304832,4920,51.49876440515087,-0.1452231374727501,2
E87701,The Abingdon Health Centre,"The Abingdon Health Ctre, 88-92 Earls Court Road, Kensington, London, W8 6EG",020 77958470,6635,51.4962877,-0.197129,3
E87702,The Surgery,"7 Kynance Place, Gloucester Road, London, SW7 4QS",020 75813040,2523,51.497626142355536,-0.1845429949751671,1
E87706,The Foreland Medical Centre,"The Foreland Medical Ctr, 188 Walmer Road, London, W11 4ES",020 77272604,4061,51.51251850948175,-0.2127023450412486,2
E87711,Royal Hospital Chelsea,"Royal Hospital Chelsea, Royal Hospital Road, London, SW3 4SR",020 78815267,5326,51.48739998652522,-0.1573370745336009,2
E87714,Soho Square General Practice,"Soho Square General Pract, Ist Floor,1 Frith Street, London, W1D 3HZ",020 34056570,3462,51.51452389036539,-0.1319145130601459,1
E87715,Scarsdale Medical Centre,"Scarsdale Medical Centre, 2 Scarsdale Place, London, W8 5SX",020 79381887,3447,51.4994073,-0.1919002,1
E87720,Kensington Park Medical Centre,"Kensington Park Med/Ctr, 75 Russell Road, London, W14 8HW",020 73716060,3444,51.4973245089126,-0.2087874010172307,1
E87722,Lancaster Gate Medical Centre,"Lancaster Medical Centre, 20-21 Leinster Terrace, London, W2 3ET",020 74799750,4305,51.511753005674564,-0.1833617483311301,2
E87733,The Exmoor Surgery,"The Exmoor Surgery, Exmoor Street, London, W10 6DZ",020 89625166,11372,51.522361987071896,-0.217218001276493,4
E87737,Marylebone Health Centre,"Marylebone Health Centre, 17A Marylebone Road, London, NW1 5LT",020 79356328,8502,51.5228381243478,-0.1515391420577499,4
E87738,Knightsbridge Medical Centre,"Knightsbridge Medical Ctr, 71-75 Pavilion Road, Knightsbridge, London, SW1X 0ET",020 82372600,10826,51.49806966256694,-0.1599178949805584,4
E87739,Millbank Medical Centre,"Millbank Medical Centre, 20 Page Street, London, SW1P 4EN",020 78345502,6125,51.494030071233425,-0.1302314144722499,3
E87740,The Doctor Hickey Surgery,"The Cardinal Hume Centre, 3 Arneway Street, London, SW1P 2BG",020 72228593,12376,51.49574989489851,-0.1315008451039351,5
E87741,Woodfield Road Medical Centre,"The Medical Centre, 7E Woodfield Road, London, W9 3XZ",020 72661449,13516,51.522628905224295,-0.1975707456448891,5
E87742,The Golborne Medical Centre,"The Golborne Medical Cntr, 12-16 Golborne Road, London, W10 5PE",020 89644801,7367,51.524021421568825,-0.2063272925179545,3
E87745,Cavendish Health Centre,"Cavendish Health Centre, 53 New Cavendish Street, London, W1G 9TQ",020 74875244,10917,51.51933063773786,-0.1480920888796291,4
E87746,Brompton Medical Centre,"Brompton Medical Centre, 237 Old Brompton Road, London, SW5 0EA",020 73734102,7751,51.489435353905506,-0.1898667141040723,3
E87750,Earls Court Surgery,"269 Old Brompton Road, Earls Court, London, SW5 9JA",020 73702643,8917,51.48880283762095,-0.1917784711721627,4
E87751,Srikrishnamurthy Harrow Road Surgery,"574 Harrow Road, London, W10 4NJ",020 89605499,6446,51.52656302927309,-0.2067031459285196,3
E87753,Belgrave Medical Centre,"Belgrave Medical Centre, 13 Pimlico Road, London, SW1W 8NA",020 77305171,5287,51.49076718127693,-0.1508740316823096,2
E87754,Wellington Health Centre,"The Wellington Health Ctr, 16 Wellington Road, St John'S Wood, London, NW8 9SP",020 77223382,8453,51.532274958046415,-0.1712844449401951,4
E87755,Queens Park Health Centre,"Queens Park Health Centre, Dart Street, Kensal Green, London, W10 4LY",020 89649990,10968,51.53091093373208,-0.2058258382468348,4
E87756,Ground Floor Lanark Medical Centre,"The Lanark Medical Centre, Ground Floor, 165 Lanark Road, London, W9 1NZ",020 73281128,32302,51.53041396352208,-0.1857927092500171,5
E87762,The Good Practice,"409 Kings Road, London, SW10 0LR",020 73511766,19132,51.4827866125,-0.17783223125,5
E87768,Kings College Health Centre,"3Rd Floor, Bush House, South East Wing, 300 Strand, London, WC2B 4PJ",020 78482613,3866,51.512741996737006,-0.1179224484223979,1
E87772,Great Chapel Street Medical Centre,"4Th Fl Soho Ctr For Hlth, 1 Frith Street, London, W1D 3HZ",020 74379360,17649,51.5151727,-0.1342188,5
F82001,Halbutt Street Surgery,"2 Halbutt Street, Dagenham, Essex, RM9 5AS",020 85921544,2961,51.54702059046851,0.1467417179537037,1
F82002,Haiderian Medical Centre,"181 Corbets Tey Road, Upminster, Essex, RM14 2YN",01708 225161,3471,51.54949885685499,0.2472939449517476,1
F82003,Dr M Fateh'S Practice,"2 First Avenue, Dagenham, Essex, RM10 9AT",020 85924082,6468,51.529574178368044,0.1575415512948748,3
F82005,Dr M Goyal'S Practice,"Church Elm Health Centre, Church Elm Lane, Dagenham, Essex, RM10 9RR",020 84653000,6644,51.53999677677135,0.1568352247110287,3
F82006,Cranham Village Surgery,"143 Ingrebourne Gardens, Cranham, Upminster, Essex, RM14 1BJ",01708 228888,14921,51.56261580455785,0.2633935810018896,5
F82007,The Green Wood Practice,"89 Gubbins Lane, Harold Wood, Romford, Essex, RM3 0DR",01708 346666,13514,51.595326197391046,0.2327200376321948,5
F82008,Maylands Healthcare,"Maylands Healthcare, 300 Upper Rainham Road, Hornchurch, Essex, RM12 4EQ",01708 460180,11207,51.5528765,0.1906019,4
F82009,North Street Medical Care,"North Street Medical Care, 274 North Street, Romford, Essex, RM1 4QJ",01708 629733,8558,51.58618009559486,0.1733445525484186,4
F82010,Petersfield Surgery,"Petersfield Surgery, 70 Petersfield Avenue, Harold Hill,Romford, Essex, RM3 9PD",01708 343113,14017,51.60572048734526,0.2327967554692842,5
F82011,St Edwards Medical Centre,"Mawney Medical Centre, 7 St.Edwards Street, Romford, Essex, RM1 3DQ",01708 741096,9137,51.58034082594894,0.18174068592695106,4
F82012,Five Elms Medical Practice,"Five Elms Health Centre, Five Elms Road, Dagenham, Essex, RM9 5TT",020 85171175,12926,51.55331491032925,0.1423498701620623,5
F82013,Western Road Medical Centre,"Western Road Medical Ctr, 99 Western Road, Romford, Essex, RM1 3LS",01708 775300,7035,51.57898373421683,0.1874923790069567,3
F82014,Kucchai,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex, RM3 9SU",01708 343991,14554,51.606266247447024,0.2248947405595108,5
F82015,Hedgemans Medical Centre,"92 Hedgemans Road, Dagenham, Essex, RM9 6HT",020 85924242,8258,51.53975597362086,0.1432127634052918,3
F82016,Central Park Surgery,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex, RM3 9SU",01708 331802,8691,51.606266247447024,0.2248947405595108,4
F82017,St Albans Surgery,"Urswick Medical Centre, Urswick Road, Dagenham, Essex, RM9 6EA",020 89844460,5067,51.536725720050036,0.1334653607144525,2
F82018,Barking Medical Group Practice,"Barking Group Practice, 130 Upney Lane, Barking, Essex, IG11 9LT",020 84774317,3899,51.541315127118864,0.0972528440599956,1
F82019,The Upstairs Surgery,"Ashton Gardens, Chadwell Heath, Romford, Essex, RM6 6RT",020 85992435,3403,51.57371554723814,0.1401052245935642,1
F82021,The New Medical Centre,"The New Medical Centre, 264 Brentwood Road, Romford, Essex, RM2 5SU",01708 478800,11691,51.57446584496861,0.2040166499883403,5
F82022,The Rosewood Medical Centre,"The Rosewood Medical Ctr, 30 Astra Close, Elm Park, Hornchurch, Essex, RM12 5NJ",01708 523168,7596,51.5428009950065,0.2010866401583883,3
F82023,High Street Surgery,"219 High Street, Hornchurch, Essex, RM11 3XT",01708 447747,8575,51.561551959153405,0.2235624820364855,4
F82025,Dr Bk Jaiswal'S Practice,"Julia Engwell Health Ctr., Woodward Road, Dagenham, Essex, RM9 4SR",020 85925500,3913,51.53893446013479,0.1255953319787177,1
F82027,Dr P Prasad'S Practice,"Faircross Health Centre, 51 Upney Lane, Barking, Essex, IG11 9LD",020 85943667,13191,51.542861958364256,0.0962423312410587,5
F82028,Wood Lane Surgery,"39 Wood Lane, Elm Park, Hornchurch, Essex, RM12 5HX",01708 450902,5214,51.544581964157935,0.1962323519430151,2
F82030,Lynwood Medical Centre,"Lynwood Medical Centre, 2A-6 Lynwood Drive, Romford, Essex, RM5 3QL",01708 208669,12636,51.60170994560664,0.1641364608278625,5
F82031,Dr Sanomi,"Rush Green Medical Centre, 261 Dagenham Road, Romford, Essex, RM7 0XR",01708 728261,15716,51.560717765630294,0.1759679649060683,5
F82033,Dr Vm Patel,"9 Glanville Drive, Hornchurch, Essex, RM11 3SZ",01708 442117,2030,51.56111180004746,0.2287494867293218,1
F82034,Victoria Medical Centre,"Victoria Medical Centre, 1 Queens Road, Barking, Essex, IG11 8GD",020 84778760,10546,51.54094631809707,0.0762587415223686,4
F82038,Dr Sz Haider'S Practice,"Valence Medical Centre, 561-563 Valence Avenue, Dagenham, Essex, RM8 3RH",020 85929111,9732,51.55307722463017,0.1307120061973893,4
F82039,Dr P & S Poologanathan,"Rush Green Medical Centre, 261 Dagenham Road, Romford, Essex, RM7 0XR",0844 4773288,11855,51.560717765630294,0.1759679649060683,5
F82040,John Smith Medical Centre,"145-207 Bevan Avenue, Barking, Essex, IG11 9LL",020 85949013,19584,51.53889901264049,0.112124788126433,5
F82042,Aurora Medcare,"Thames View Health Centre, Bastable Avenue, Barking, IG11 0LG",020 85073056,7249,51.52783404297502,0.1037085371217914,3
F82045,Chowdhury,"Oak Lodge, 6 Oak Road, Harold Wood, Romford, Essex, RM3 0PT",01708 342139,5492,51.59233660989669,0.2338728201430006,2
F82051,Laburnum Health Centre,"Laburnum Health Centre, George Crouch Centre, Althorne Way, Dagenham, Essex, RM10 7DF",020 85170222,10517,51.560661812962216,0.1512074632716165,4
F82053,Upminster Medical Centre,"224-226 St Mary'S Lane, Upminster, Essex, RM14 3DH",01708 251407,8963,51.55673086165042,0.2547050717174792,4
F82055,Hornchurch Healthcare,"The Surgery, 58B Billet Lane, Hornchurch, Essex, RM11 1XA",01708 440187,13356,51.56688985800682,0.2190178445524807,5
F82604,Marks Gate Health Centre,"Marks Gate Health Centre, Lawn Farm Grove, Chadwell Heath, Romford, Essex, RM6 5LL",020 89180560,4021,51.584643685635136,0.1370388145068776,1
F82607,South Hornchurch Medical Practice,"South Hornchurh Hlth Ctr, 106 South End Road, Rainham, Essex, RM13 7XJ",01708 553120,2066,51.53122646472063,0.191142336940379,1
F82609,Dr Pm Patel,"24 Suttons Avenue, Hornchurch, Essex, RM12 4LF",01708 442711,9562,51.55631875070753,0.2192533870605037,4
F82610,Dr Gupta,"206 Mawney Road, Romford, Essex, RM7 8BU",01708 739379,5129,51.58291388056979,0.1646866385005692,2
F82612,The White House Surgery,"12 Movers Lane, Barking, Essex, IG11 7UN",020 85944042,2476,51.53400429043679,0.0881643963480614,1
F82619,Harlow Road Surgery,"The Surgery, 1 Harlow Road, Rainham, Essex, RM13 7UP",01708 552072,3226,51.53193513391447,0.1864182317850251,1
F82621,Dewey Practice (Dr Christopher),"281 Oxlow Lane, Dagenham, Essex, RM10 7YU",020 85920049,2862,51.551483865305656,0.1588378199788089,1
F82624,Upminster Bridge Surgery,"Upminster Bridge Surgery, 126 Upminster Road, Hornchurch, Essex, RM12 6PL",01708 440642,10632,51.55826550000001,0.2347689,4
F82625,Abbey Medical Centre,"Abbey Medical Centre, 1 Harpour Road, Barking, Essex, IG11 8RJ",020 80908106,3403,51.5422687521537,0.0782135344728247,1
F82627,Rainham Health Centre,"Rainham Health Centre, Upminster Road South, Rainham, Essex, RM13 9AB",01708 796579,6234,51.519362307325935,0.1970449463902807,3
F82630,Chase Cross Medical Centre,"13-15 Chase Cross Road, Collier Row, Romford, Essex, RM5 3PJ",01708 749918,6733,51.6006999,0.1637112999999999,3
F82634,Heathway Medical Centre,"Broad Street Resource Ctr, Moreland Road, Dagenham, Essex, RM10 9HU",020 85921771,5617,51.535032676982325,0.1522437780012391,2
F82638,Modern Medical Centre,"The Surgery, 195 Rush Green Road, Romford, Essex, RM7 0PX",01708 741872,11220,51.565417863764154,0.1775920136940474,4
F82642,Gables Surgery,"The Gables Surgery, Markyate Road, Dagenham, Essex, RM8 2LD",020 36675410,2953,51.54570200985384,0.1178628197541066,1
F82647,Dr R Chibber'S Practice,"7 Salisbury Avenue, Barking, Essex, IG11 9XQ",0844 4778704,3474,51.538809862548504,0.0837444385471294,1
F82648,Ingrebourne Medical Centre,"135 Straight Road, Harold Hill, Romford, Essex, RM3 7JJ",01708 372021,2172,51.6003052357152,0.2105528795578518,1
F82649,Berwick Surgery,"Berwick Surgery, 17 Berwick Road, Rainham, Essex, RM13 9QU",01708 520830,20666,51.5271741340917,0.2139430687573509,5
F82650,Dr Aa Ansari'S Practice,"364-370 Ripple Road, Barking, Essex, IG11 9RS",020 89113777,14281,51.535423670757524,0.0942999711187876,5
F82660,Tulasi Medical Centre,"Tulasi Medical Centre, 10 Bennetts Castle Lane, Dagenham, Essex, RM8 3XU",020 85901773,1011,51.56100480432894,0.1244891354156236,1
F82661,Green Lane Surgery,"872 Green Lane, Dagenham, Essex, RM8 1BX",020 85997151,5702,51.561368729202655,0.1327969561647814,2
F82663,Dr Marks Practice,"107 Brentwood Road, Romford, Essex, RM1 2SB",01708 740244,2237,51.57255257898797,0.1923789023710738,1
F82666,Rahman & Tsoi,"The Surgery, 482 South End Road, Hornchurch, Essex, RM12 5PA",01708 476036,5027,51.547230796581715,0.2040445702793498,2
F82670,Abbamoor Surgery,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex, RM3 9SU",01708 341188,16591,51.606266247447024,0.2248947405595108,5
F82671,Prasad,"137 Straight Road, Harold Hill, Romford, Essex, RM3 7JJ",01708 343281,6686,51.6003052357152,0.2105528795578518,3
F82674,Cranham Health Centre,"Cranham Health Centre, Avon Road, Upminster, Essex, RM14 1RG",0300 3001863,4377,51.568865248954495,0.2652913660541133,2
F82675,Billet Lane Medical Practice,"Billet Lane Medical Pract, 58B Billet Lane, Hornchurch, Essex, RM11 1XA",01708 442377,5287,51.56688985800682,0.2190178445524807,2
F82677,Dr A Moghal'S Practice,"Becontree Medical Centre, 641-645 Becontree Avenue, Dagenham, Essex, RM8 3HP",0203 7473020,37053,51.55937232557353,0.1410764238157336,5
F82678,Dr Km Alkaisy Practice,"Urswick Medical Centre, Urswick Road, Dagenham, Essex, RM9 6EA",020 89844470,12920,51.536725720050036,0.1334653607144525,5
F82679,Dr Dp Shah'S Practice,"Parkview Medical Centre, 199 Reede Road, Dagenham, Essex, RM10 8EJ",020 85922664,8047,51.545121851101854,0.1600366010107336,3
F82680,Highgrove Surgery,"Barking Community Hosp, Upney Lane, Barking, Essex, IG11 9LX",020 38174117,16032,51.53874010742989,0.0987748567343251,5
F82686,Dr A Patel,"Ashton Gardens, Chadwell Heath, Romford, Essex, RM6 6RT",020 85180580,17588,51.57371554723814,0.1401052245935642,5
F83002,River Place Health Centre,"River Place Health Centre, River Place,Essex Road, London, N1 2DE",020 77042832,5115,51.54051086133815,-0.09658693980576,2
F83003,Park End Surgery,"The Park End Surgery, 3 Park End, (Off South Hill Park), London, NW3 2SE",020 74357282,5333,51.55602628528537,-0.1656725207172726,2
F83004,Archway Medical Centre,"Archway Medical Centre, 652 Holloway Road, London, N19 3NU",020 72720111,5803,51.56240077712214,-0.1257690448967411,2
F83005,Gower Street Practice,"Gower Street Practice, 20 Gower Street, London, WC1E 6DP",020 76367628,8392,51.520374502258434,-0.1300993462922019,3
F83006,Ampthill Practice,"Crowndale Health Centre, 59 Crowndale Road, London, NW1 1TN",020 73837333,3432,51.53448277730151,-0.1378470774061004,1
F83007,Roman Way Medical Centre,"Roman Way Medical Centre, 28 Laycock Street, London, N1 1SW",020 76077502,3145,51.54423507162407,-0.1046479944042519,1
F83008,The Goodinge Group Practice,"Goodinge Health Centre, Goodinge Cl, 20 North Rd, London, N7 9EW",020 76196670,13794,51.54825040349492,-0.1254419783276726,5
F83010,Islington Central Medical Centre,"Islington Central M. Ctr, 28 Laycock Street, London, N1 1SW",020 73590445,14260,51.54423507162407,-0.1046479944042519,5
F83011,Primrose Hill Surgery,"Primrose Hill Surgery, 99 Regents Park Road, London, NW1 8UR",020 77220038,10719,51.5420549,-0.1563298,4
F83012,Elizabeth Avenue Group Practice,"Elizabeth Ave Group Prac., 2 Elizabeth Avenue, Islington, London, N1 3BS",020 72266363,4348,51.53902297180318,-0.0919047515255604,2
F83015,St Johns Way Medical Centre,"St. Johns Way Medical Ctr, 96 St. Johns Way, London, N19 3RN",020 72721585,4871,51.568022288829965,-0.1309200250538993,2
F83017,Hampstead Group Practice,"Hampstead Group Practice, 75 Fleet Road, Hampstead, London, NW3 2QU",020 74354000,10078,51.55333334149843,-0.1616200122589595,4
F83018,Prince Of Wales Group Surgery,"52 Prince Of Wales Road, Camden, London, NW5 3LN",020 72670067,24421,51.54691312656204,-0.1471165505482539,5
F83019,Abbey Medical Centre,"Abbey Medical Centre, 85 Abbey Road, London, NW8 0AG",020 76042455,8899,51.53792143102939,-0.1851318182213689,4
F83020,Adelaide Medical Centre,"Adelaide Medical Centre, 111 Adelaide Road, London, NW3 3RY",020 77224135,33060,51.543523795120834,-0.1611190078363719,5
F83021,Ritchie Street Group Practice,"Ritchie Street Group Prac, 34 Ritchie Street, London, N1 0DG",020 78371663,6846,51.53471709132776,-0.1078254567337148,3
F83022,Caversham Group Practice,"4 Peckwater Street, Kentish Town, London, NW5 2UP",020 74285700,4345,51.5503798,-0.1374360832343623,2
F83023,James Wigg Practice,"Kentish Town Health Ctre, 2 Bartholomew Road, London, NW5 2BX",020 74284555,5003,51.546404132421905,-0.1399548177122691,2
F83025,The Regents Park Practice,"Regents Park Medical Ctr., Cumberland Market, London, NW1 3RH",020 73884474,7056,51.529329986686896,-0.1418185885482183,3
F83032,St Peter'S Street Medical Practice,"St.Peter'S St Med Pract, 16 1/2 St.Peter'S Street, Islington, London, N1 8JG",020 72889320,2692,51.5356955,-0.1009449,1
F83033,Barnsbury Medical Practice,"Bingfield Primary Care Cr, 8 Bingfield Street, London, N1 0AL",020 77009700,907,51.539320874379385,-0.119262100428951,1
F83034,New North Health Centre,"New North Health Centre, 287-293 New North Road, London, N1 7AA",020 72269090,3598,51.53753411883688,-0.0915921066872676,1
F83039,The Rise Group Practice,"Hornsey Rise Health Ctr., Hornsey Rise, London, N19 3YU",020 75302484,3535,51.571444007628,-0.1250074890680975,1
F83042,Gray'S Inn Road Medical Centre,"Gray'S Inn Road Med Ctr, 77 Gray'S Inn Road, Holborn, London, WC1X 8TS",020 74059360,7645,51.52273435816775,-0.1145110876820243,3
